,FISCALIA DE INVESTIGACION ANTIDROGAS - SAENZ PEÑA,1,FINM01SP,penal,SIGI,FINM01SP
,FISCALIA ANTIDROGAS Nº 02  ,1,FINM02,penal,SIGI,FINM02
,FISCALIA DE INVESTIGACION RURAL- GENERAL SAN MARTIN,1,FIRURALGSM,penal,SIGI,FIRURALGSM
,FISCALIA DE INVESTIGACION RURAL- MACHAGAI,1,FIRURALMACHAGAI,penal,SIGI,FIRURALMACHAGAI
,GABINETE CIENTIFICO,1,GABCIENT,penal,SIGI,GABCIENT
,GABINETE CIENTIFICO - CHARATA,1,GABCIENTCH,penal,SIGI,GABCIENTCH
,GABINETE CIENTIFICO - GENERAL SAN MARTIN,1,GABCIENTGSM,penal,SIGI,GABCIENTGSM
,GABINETE CIENTIFICO - JJ CASTELLI,1,GABCIENTJJC,penal,SIGI,GABCIENTJJC
,GABINETE CIENTIFICO - SAENZ PEÑA,1,GABCIENTSP,penal,SIGI,GABCIENTSP
,GABINETE CIENTIFICO - VILLA ANGELA,1,GABCIENTVA,penal,SIGI,GABCIENTVA
,IMCIF - INST. DE MEDICINA Y CIENCIAS FORENSES,1,IMCIF,penal,SIGI,IMCIF
,INSTITUTO MEDICO FORENSE,1,IMF,penal,SIGI,IMF
,INSTITUTO MEDICO FORENSE - CHARATA,1,IMFCH,penal,SIGI,IMFCH
,INSTITUTO MEDICO FORENSE - GENERAL SAN MARTIN,1,IMFGSM,penal,SIGI,IMFGSM
,INSTITUTO MEDICO FORENSE - JJ CASTELLI,1,IMFJJC,penal,SIGI,IMFJJC
,INSTITUTO MEDICO FORENSE - SAENZ PEÑA,1,IMFSP,penal,SIGI,IMFSP
,INSTITUTO MEDICO FORENSE - VILLA ANGELA,1,IMFVA,penal,SIGI,IMFVA
,INSPECTORIA DE JUSTICIA DE PAZ Y FALTAS,1,INSPJPYF,penal,SIGI,INSPJPYF
,JUZGADOS CIVILES Y COMERCIALES,1,JCC00,civil,IURE,JCC00
,JUZGADO CIVIL Y COMERCIAL Nº 1,1,JCC01,civil,IURE,JCC01
,JUZGADO CIVIL Y COMERCIAL Nº 10,1,JCC010,civil,IURE,JCC010
,JUZGADO CIVIL Y COMERCIAL Nº 11,1,JCC011,civil,IURE,JCC011
,JUZGADO CIVIL Y COMERCIAL Nº 12,1,JCC012,civil,IURE,JCC012
,JUZGADO CIVIL Y COMERCIAL Nº 13,1,JCC013,civil,IURE,JCC013
,JUZGADO CIVIL Y COMERCIAL Nº 14,1,JCC014,civil,IURE,JCC014
,JUZGADO CIVIL Y COMERCIAL Nº 15,1,JCC015,civil,IURE,JCC015
,JUZGADO CIVIL Y COMERCIAL Nº 16,1,JCC016,civil,IURE,JCC016
,JUZGADO CIVIL Y COMERCIAL Nº 17,1,JCC017,civil,IURE,JCC017
,JUZGADO CIVIL Y COMERCIAL Nº 18,1,JCC018,civil,IURE,JCC018
,JUZGADO CIVIL Y COMERCIAL Nº 19,1,JCC019,civil,IURE,JCC019
,JUZGADO CIVIL Y COMERCIAL Nº 1 - VILLA ANGELA,1,JCC01VA,civil,IURE,JCC01VA
,JUZGADO CIVIL Y COMERCIAL Nº 2,1,JCC02,civil,IURE,JCC02
,JUZGADO CIVIL Y COMERCIAL Nº 20,1,JCC020,civil,IURE,JCC020
,JUZGADO CIVIL Y COMERCIAL Nº 21,1,JCC021,civil,IURE,JCC021
,JUZGADO CIVIL Y COMERCIAL Nº 22,1,JCC022,civil,IURE,JCC022
,JUZGADO CIVIL Y COMERCIAL Nº 23,1,JCC023,civil,IURE,JCC023
,JUZGADO CIVIL Y COMERCIAL Nº 2 - VILLA ANGELA,1,JCC02VA,civil,IURE,JCC02VA
,JUZGADO CIVIL Y COMERCIAL Nº 3,1,JCC03,civil,IURE,JCC03
,JUZGADO CIVIL Y COMERCIAL Nº 4,1,JCC04,civil,IURE,JCC04
,JUZGADO CIVIL Y COMERCIAL Nº 5,1,JCC05,civil,IURE,JCC05
,JUZGADO CIVIL Y COMERCIAL Nº 6,1,JCC06,civil,IURE,JCC06
,JUZGADO CIVIL Y COMERCIAL Nº 7,1,JCC07,civil,IURE,JCC07
,JUZGADO CIVIL Y COMERCIAL Nº 8,1,JCC08,civil,IURE,JCC08
,JUZGADO CIVIL Y COMERCIAL Nº 9,1,JCC09,civil,IURE,JCC09
,JUZGADO CORRECCIONAL Nº 1 - SAENZ PEÑA,1,JCOR01SP,penal,SIGI,JCOR01SP
,JUZGADO DE CORRECCIONAL Nº 2 - CORRIENTES,1,JCOR02COR,penal,SIGI,JCOR02COR
,JUZGADO CORRECCIONAL Nº 2 - SAENZ PEÑA,1,JCOR02SP,penal,SIGI,JCOR02SP
,JUZGADO CORRECCIONAL Nº 1,1,JCOR1,penal,SIGI,JCOR1
